Account,Store,ShipDate,SumOfShipwght,Tour,Store_region,Store_address,store_city
5,28,3-Jan-97,481.28,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,10-Jan-97,94,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,17-Jan-97,543.72,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,24-Jan-97,580.15,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,7-Feb-97,789.2,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,14-Feb-97,3159.17,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,21-Feb-97,280.25,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,7-Mar-97,613.26,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,14-Mar-97,42,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,21-Mar-97,633.4,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,28-Mar-97,636.48,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,4-Apr-97,592.92,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,11-Apr-97,808.68,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,15-Apr-97,-486.88,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,18-Apr-97,883.17,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,25-Apr-97,942.29,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,2-May-97,297.84,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,9-May-97,1677.71,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,23-May-97,701.05,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,30-May-97,337.14,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,6-Jun-97,2083.21,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,13-Jun-97,970.68,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,20-Jun-97,19.6,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,27-Jun-97,1622.3,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,7-Jul-97,756.95,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,9-Jul-97,-221.25,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,11-Jul-97,641.53,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,18-Jul-97,331.18,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,25-Jul-97,986.43,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,1-Aug-97,1148.1,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,28,8-Aug-97,787.51,90,TX,3620 EMMETT F LOWRY EXPRWAY,TEXAS CITY
5,82,7-Jan-97,13295.87,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,28-Jan-97,224.84,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,18-Feb-97,126,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,25-Feb-97,63,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,4-Mar-97,762.32,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,18-Mar-97,75.38,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,25-Mar-97,1634.03,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,1-Apr-97,41.14,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,8-Apr-97,639.27,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,15-Apr-97,681.11,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,29-Apr-97,680.18,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,6-May-97,2208.99,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,13-May-97,1205.93,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,20-May-97,298.08,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,28-May-97,477,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,11-Jun-97,149.01,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,17-Jun-97,250.13,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,24-Jun-97,37.34,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,1-Jul-97,885.07,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,8-Jul-97,828.7,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,15-Jul-97,2278.68,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,5-Aug-97,488.08,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,6-Aug-97,259,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,12-Aug-97,250.75,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,82,13-Aug-97,285.2,#N/A,TX,3501 SOUTH MEDORD,LUFKIN
5,95,2-Jan-97,182,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,7-Jan-97,126,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,10-Jan-97,1890,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,16-Jan-97,528.7,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,21-Jan-97,756,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,28-Jan-97,539.17,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,18-Feb-97,1388.56,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,25-Feb-97,63,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,4-Mar-97,2323.54,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,18-Mar-97,1424.12,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,25-Mar-97,593.38,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,1-Apr-97,42,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,3-Apr-97,649.28,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,15-Apr-97,42,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,22-Apr-97,329.84,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,29-Apr-97,864.4,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,30-Apr-97,-252,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,6-May-97,42,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,13-May-97,577.95,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,21-May-97,350.54,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,28-May-97,256.65,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,3-Jun-97,418.13,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,17-Jun-97,1382.15,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,24-Jun-97,808.61,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,1-Jul-97,1293.53,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,7-Jul-97,558.46,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,8-Jul-97,1219.85,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,15-Jul-97,126,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,22-Jul-97,831.48,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,30-Jul-97,7.05,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,5-Aug-97,1787.82,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,95,12-Aug-97,478.2,89,TX,4120 DOWLEN NORTH,BEAUMONT
5,97,7-Jan-97,513.2,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,5-Feb-97,766.48,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,14-Feb-97,481.28,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,20-Feb-97,1748.02,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,25-Feb-97,1301.81,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,4-Mar-97,714.33,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,11-Mar-97,336,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,18-Mar-97,602.79,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,25-Mar-97,186.65,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,3-Apr-97,641,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,8-Apr-97,29,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,15-Apr-97,870.88,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,29-Apr-97,2238.39,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,6-May-97,109.34,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,13-May-97,790.21,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,20-May-97,352.62,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,3-Jun-97,1173.43,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,18-Jun-97,781.75,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,2-Jul-97,2510.81,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,7-Jul-97,955.9,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,8-Jul-97,831.76,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,16-Jul-97,1600.61,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,22-Jul-97,531,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,30-Jul-97,636,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,5-Aug-97,285.2,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,7-Aug-97,79.34,96,TX,5002 GARTH ROAD,BAYTOWN
5,97,12-Aug-97,161.3,96,TX,5002 GARTH ROAD,BAYTOWN
5,98,15-Jan-97,249,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,22-Jan-97,902.19,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,29-Jan-97,203.12,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,5-Feb-97,107.51,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,12-Feb-97,235,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,19-Feb-97,534.84,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,26-Feb-97,44.64,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,5-Mar-97,630,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,12-Mar-97,1133.28,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,19-Mar-97,285.2,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,26-Mar-97,724.95,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,2-Apr-97,222.36,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,9-Apr-97,119,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,16-Apr-97,133,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,23-Apr-97,340.6,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,30-Apr-97,390.75,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,7-May-97,638.47,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,14-May-97,1404.78,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,21-May-97,87.1,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,28-May-97,572.38,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,4-Jun-97,88.65,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,11-Jun-97,1444.96,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,18-Jun-97,1418.28,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,26-Jun-97,590.68,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,2-Jul-97,1055.14,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,9-Jul-97,932.73,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,16-Jul-97,11.55,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,23-Jul-97,1522.43,#N/A,TX,19935 KATY FREEWAY,KATY
5,98,25-Jul-97,75.98,#N/A,TX,19935 KATY FREEWAY,KATY
